====== H (3000) into Layer 1                    =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 3000  keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+05 A   Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   354.6E+03 A   Straggling =   115.4E+02 A
 Ion Lateral Range =   161.0E+02 A   Straggling =   226.2E+02 A
 Ion Radial  Range =   252.7E+02 A   Straggling =   195.0E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =109
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -008.7171  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 165.4764  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
400001.E-02  7.5000E-02  0.0000E+00
800001.E-02  1.5000E-01  0.0000E+00
120000.E-01  1.7500E-01  0.0000E+00
160000.E-01  1.0000E-01  0.0000E+00
200000.E-01  7.5000E-02  0.0000E+00
240000.E-01  2.5000E-02  0.0000E+00
280000.E-01  2.5000E-01  0.0000E+00
320000.E-01  3.0000E-01  0.0000E+00
360000.E-01  1.2500E-01  0.0000E+00
400000.E-01  2.2500E-01  0.0000E+00
440000.E-01  1.7500E-01  0.0000E+00
480000.E-01  3.0000E-01  0.0000E+00
520000.E-01  2.5000E-01  0.0000E+00
560000.E-01  1.0000E-01  0.0000E+00
600000.E-01  2.5000E-01  0.0000E+00
640000.E-01  1.7500E-01  0.0000E+00
680000.E-01  3.0000E-01  0.0000E+00
720000.E-01  2.0000E-01  0.0000E+00
760000.E-01  1.5000E-01  0.0000E+00
800000.E-01  2.0000E-01  0.0000E+00
840000.E-01  2.0000E-01  0.0000E+00
880000.E-01  2.2500E-01  0.0000E+00
920000.E-01  2.2500E-01  0.0000E+00
960000.E-01  2.5000E-01  0.0000E+00
100000.E+00  1.2500E-01  0.0000E+00
104000.E+00  4.2500E-01  0.0000E+00
108000.E+00  5.2500E-01  0.0000E+00
112000.E+00  3.0000E-01  0.0000E+00
116000.E+00  3.2500E-01  0.0000E+00
