====== H (5000) into Layer 1                    =======
        SRIM-2013.00
==================================================
      ION and final RECOIL ATOM Distributions     
 See  SRIM Outputs\TDATA.txt for calculation details
==================================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
----------------------------------------------------------------
  There are NO RECOILS unless a full TRIM calculation is made.   
----------------------------------------------------------------
See file :  SRIM Outputs\TDATA.txt   for details of calculation
 Ion    =  H   Energy = 5000  keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     1.E+06 A   Layer # 1- Density = 8.481E22 atoms/cm3 = 7.865 g/cm3
  Layer # 1- Fe = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =1000000.00
 Ion Average Range =   812.7E+03 A   Straggling =   238.8E+02 A
 Ion Lateral Range =   341.2E+02 A   Straggling =   479.1E+02 A
 Ion Radial  Range =   536.5E+02 A   Straggling =   412.9E+02 A
====================================================================
 Transmitted Ions =;  Backscattered Ions =82
 (These are not included in Skewne- and Kurtosis below.)

 Range Skewne- = -009.7781  &= [-(X-Rp)^3]/[N*Straggle^3]
 Range Kurtosis = 210.7311  &= [-(X-Rp)^4]/[N*Straggle^4]
 Statistical definitions above are those used in VLSI implant modelling.
====================================================================
=================================================================
  Table Distribution Units are >>>  (Atoms/cm3) / (Atoms/cm2)  <<<  
=================================================================
   DEPTH          H       Recoil     
   (Ang.)       Ions     Distribution
-----------  ----------  ------------
100000.E-01  3.0000E-02  0.0000E+00
200000.E-01  7.0000E-02  0.0000E+00
300000.E-01  8.0000E-02  0.0000E+00
400000.E-01  2.0000E-02  0.0000E+00
500000.E-01  5.0000E-02  0.0000E+00
600000.E-01  6.0000E-02  0.0000E+00
700000.E-01  7.0000E-02  0.0000E+00
800000.E-01  2.0000E-02  0.0000E+00
900000.E-01  5.0000E-02  0.0000E+00
100000.E+00  8.0000E-02  0.0000E+00
110000.E+00  9.0000E-02  0.0000E+00
120000.E+00  1.0000E-01  0.0000E+00
130000.E+00  9.0000E-02  0.0000E+00
140000.E+00  7.0000E-02  0.0000E+00
150000.E+00  9.0000E-02  0.0000E+00
160000.E+00  1.1000E-01  0.0000E+00
170000.E+00  1.0000E-01  0.0000E+00
180000.E+00  1.1000E-01  0.0000E+00
190000.E+00  1.0000E-01  0.0000E+00
200000.E+00  3.0000E-02  0.0000E+00
210000.E+00  9.0000E-02  0.0000E+00
220000.E+00  1.2000E-01  0.0000E+00
230000.E+00  1.1000E-01  0.0000E+00
240000.E+00  1.8000E-01  0.0000E+00
250000.E+00  1.4000E-01  0.0000E+00
260000.E+00  1.4000E-01  0.0000E+00
270000.E+00  1.7000E-01  0.0000E+00
280000.E+00  1.5000E-01  0.0000E+00
290000.E+00  1.1000E-01  0.0000E+00
